Volcano Name,Country,iso_alpha,Latitude,Longitude,VElevation,VType,VEI,Eruption_Year,Century,Deaths
Dieng Volcanic Complex,Indonesia,IDN,-7.2,109.92,2565,Complex,2,1847,1800s,15
Dieng Volcanic Complex,Indonesia,IDN,-7.2,109.92,2565,Complex,2,1928,1900s,1
Dieng Volcanic Complex,Indonesia,IDN,-7.2,109.92,2565,Complex,2,1928,1900s,39
Dieng Volcanic Complex,Indonesia,IDN,-7.2,109.92,2565,Complex,2,1944,1900s,117
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,2,1832,1800s,32
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,2,1902,1900s,16
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,2,1920,1900s,35
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,2,1953,1900s,64
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,2,1967,1900s,1
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,2,1972,1900s,9
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,2,1972,1900s,29
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,2,1986,1900s,1
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,2,1992,1900s,
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,2,1992,1900s,6
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,2,1992,2000s,1
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,2,1992,2000s,2
Kelut,Indonesia,IDN,-7.93,112.308,1731,Stratovolcano,2,1716,1700s,15
Kelut,Indonesia,IDN,-7.93,112.308,1731,Stratovolcano,2,1864,1800s,15
Semeru,Indonesia,IDN,-8.108,112.92,3676,Stratovolcano,2,1884,1800s,74
Semeru,Indonesia,IDN,-8.108,112.92,3676,Stratovolcano,2,1895,1800s,80
Semeru,Indonesia,IDN,-8.108,112.92,3676,Stratovolcano,2,1909,1900s,220
Semeru,Indonesia,IDN,-8.108,112.92,3676,Stratovolcano,2,1946,1900s,6
Tengger Caldera,Indonesia,IDN,-7.942,112.95,2329,Stratovolcano(es),2,2004,2000s,2
Lamongan,Indonesia,IDN,-7.979,113.342,1651,Stratovolcano,2,1843,1800s,3
Lamongan,Indonesia,IDN,-7.979,113.342,1651,Stratovolcano,2,1869,1800s,8
Ijen,Indonesia,IDN,-8.058,114.242,2799,Stratovolcano(es),2,1817,1800s,100
Batur,Indonesia,IDN,-8.242,115.375,1717,Caldera,2,1963,1900s,2
Paluweh,Indonesia,IDN,-8.32,121.708,875,Stratovolcano,2,1963,1900s,1
Paluweh,Indonesia,IDN,-8.32,121.708,875,Stratovolcano,2,2012,2000s,6
Lewotobi,Indonesia,IDN,-8.542,122.775,1703,Stratovolcano(es),2,1869,1800s,15
Iliwerung,Indonesia,IDN,-8.53,123.57,1018,Complex,2,1973,1900s,2
Wurlali,Indonesia,IDN,-7.125,128.675,868,Stratovolcano,2,1892,1800s,1
Banda Api,Indonesia,IDN,-4.525,129.871,640,Caldera,2,1820,1800s,15
Mahawu,Indonesia,IDN,1.358,124.858,1324,Stratovolcano,2,1958,1900s,1
Ruang,Indonesia,IDN,2.3,125.37,725,Stratovolcano,2,1871,1800s,350
Karangetang [Api Siau],Indonesia,IDN,2.78,125.4,1784,Stratovolcano,2,1940,1900s,1
Karangetang [Api Siau],Indonesia,IDN,2.78,125.4,1784,Stratovolcano,2,1976,1900s,1
Karangetang [Api Siau],Indonesia,IDN,2.78,125.4,1784,Stratovolcano,2,1991,1900s,6
Gamalama,Indonesia,IDN,0.8,127.33,1715,Stratovolcano(es),2,1773,1700s,15
Gamalama,Indonesia,IDN,0.8,127.33,1715,Stratovolcano(es),2,1838,1800s,15
Gamalama,Indonesia,IDN,0.8,127.33,1715,Stratovolcano(es),2,1871,1800s,1
Gamalama,Indonesia,IDN,0.8,127.33,1715,Stratovolcano(es),2,1962,1900s,5
Makian,Indonesia,IDN,0.32,127.4,1357,Stratovolcano,2,1890,1800s,15
Papandayan,Indonesia,IDN,-7.32,107.73,2665,Stratovolcano(es),3,1772,1700s,2951
Guntur,Indonesia,IDN,-7.143,107.84,2249,Complex,3,1690,1600s,100
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,3,1672,1600s,3000
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,3,1822,1800s,100
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,3,1930,1900s,1369
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,3,1930,1900s,15
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,3,1961,1900s,6
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,3,1961,1900s,2
Kelut,Indonesia,IDN,-7.93,112.308,1731,Stratovolcano,3,1848,1800s,22
Kelut,Indonesia,IDN,-7.93,112.308,1731,Stratovolcano,3,1901,1900s,15
Semeru,Indonesia,IDN,-8.108,112.92,3676,Stratovolcano,3,1967,1900s,5
Semeru,Indonesia,IDN,-8.108,112.92,3676,Stratovolcano,3,1967,1900s,87
Semeru,Indonesia,IDN,-8.108,112.92,3676,Stratovolcano,3,1967,1900s,1
Semeru,Indonesia,IDN,-8.108,112.92,3676,Stratovolcano,3,1967,1900s,252
Semeru,Indonesia,IDN,-8.108,112.92,3676,Stratovolcano,3,1967,1900s,70
Semeru,Indonesia,IDN,-8.108,112.92,3676,Stratovolcano,3,1967,1900s,1
Semeru,Indonesia,IDN,-8.108,112.92,3676,Stratovolcano,3,1967,1900s,3
Semeru,Indonesia,IDN,-8.108,112.92,3676,Stratovolcano,3,1967,1900s,6
Semeru,Indonesia,IDN,-8.108,112.92,3676,Stratovolcano,3,1967,1900s,2
Semeru,Indonesia,IDN,-8.108,112.92,3676,Stratovolcano,3,1967,2000s,2
